	sham.pval	sham.fdr	sna.pval	sna.fdr	sna.log2Ratio.fwd	sna.log2Ratio.rev	sham.log2Ratio.fwd	sham.log2Ratio.rev	sna.mean	sham.mean	FisherP	FisherFDR
G3bp2	0.00496175761804762	0.010014835928452	0.00397935230802801	0.0100939668301198	1.784252693	-1.966799036	1.541118304	-0.731350027	1.8755258645	1.1362341655	0.000233630357595715	0.000478043654772771
GAPDH	0.0603271254193844	0.0754662519504847	0.219120363272442	0.268100209180399	0.371837617	-0.373420689	0.168642036	0.019346089	0.372629153	0.0746479735	0.0704052915665845	0.082139506827682
Gja1	0.0225277545087149	0.0332360144994044	0.258049290152207	0.300415591520479	0.325271271	-0.218715833	0.60767356	-0.476779313	0.271993552	0.5422264365	0.0357377341203296	0.0444216695140545
Gm10036	0.000996356435678525	0.00327801267338235	0.0385664207462749	0.0629985511666899	0.995520699	-1.337557489	1.576377015	-1.756867155	1.166539094	1.666622085	0.000429093542648613	0.000803794946088247
Gm10881	NA	NA	0.00010527682440549	0.000373994786934181	-3.134793803	3.289716448	NA	NA	-3.2122551255	NA	NA	NA
Gm5571	0.00962692644255302	0.0170282731161287	2.88064333827195e-07	2.19209932083134e-06	-4.209801819	4.283551423	-3.676687582	4.225737653	-4.246676621	-3.9512126175	5.74137823022994e-08	3.11674818212482e-07
Gm9493	0.00030562882881181	0.00141622372787444	0.00995003366653545	0.0205427818936201	1.390777727	-1.83933792	2.070354978	-1.956347529	1.6150578235	2.0133512535	4.16720264238366e-05	0.000105569133607053
Gnb1	0.0202725670637755	0.0301795229139464	0.0359962465167405	0.0595833284247075	1.19181529	NA	0.587749018	NA	1.19181529	0.587749018	0.0060004957411519	0.0086746297127522
Golga3	NA	NA	0.099265198845169	0.138882251299071	NA	1.276079728	NA	NA	-1.276079728	NA	NA	NA
Gphn	1.31802941178964e-05	0.00013539212591138	1.37746721749379e-05	6.2285474182328e-05	3.275781841	-2.937657202	2.854813541	-2.777541628	3.1067195215	2.8161775845	4.25371880390232e-09	2.69402190913813e-08
H2afv	0.891667269194091	0.930338348530323	NA	NA	NA	NA	NA	0.252778952	NA	-0.252778952	NA	NA
Hadha	0.0128875471787057	0.0213065478482119	0.328045748102834	0.365536690743158	-0.374635984	0.832849517	0.770617647	-0.780165476	-0.6037427505	0.7753915615	0.0273367466350647	0.0351283797339479
Hadhb	0.0313014524591865	0.043822033442861	0.346865110662408	0.383275480861648	-0.664997036	0.460061021	NA	-0.395226483	-0.5625290285	0.395226483	0.0599643432562118	0.0708911791384548
Hba-a2	0.00651582903155309	0.0123201594906952	0.330217464884695	0.366647149622864	-0.555502547	0.642378113	1.037382222	NA	-0.59894033	1.037382222	0.015365994058857	0.0202344278200791
Hbbt1	0.00297905908678981	0.00700078885395604	0.384583232260826	0.40812914444006	-0.422617097	0.541911266	1.239275826	-1.388128873	-0.4822641815	1.3137023495	0.00890405599905345	0.012335827582022
Hist1h1c	0.803006338305935	0.868916484939145	NA	NA	NA	NA	NA	0.648925559	NA	-0.648925559	NA	NA
Hist1h2bj	0.029526229651056	0.0417064209545656	0.170912906445517	0.219443731732516	0.422771219	-0.603117152	1.328836464	0.48501457	0.5129441855	0.421910947	0.0317372867235633	0.0400100391870514
Hist1h3e	0.0494997334386425	0.06336736304013	0.367112499383424	0.393952438728609	-0.012781018	-0.060999155	0.73430859	0.38294387	0.0241090685	0.17568236	0.0910029573889288	0.103447806262629
Hist2h2ac	0.00649969129509208	0.0123201594906952	NA	NA	NA	NA	1.038295698	NA	NA	1.038295698	NA	NA
Hist2h4	0.000440743459238371	0.00180946562546855	0.0128792244426109	0.0252724404156894	1.480988873	-1.591701173	2.420886575	-1.397486109	1.536345023	1.909186342	7.42431428975583e-05	0.00017953341827955
Hnrnpa3	0.928057524606973	0.930464117024924	NA	NA	NA	NA	-0.019009569	NA	NA	-0.019009569	NA	NA
Hnrnpab	0.0108873463540646	0.0189520473570754	0.185527773025933	0.234350871190653	NA	-0.468092091	1.012926174	-0.671669027	0.468092091	0.8422976005	0.0145528200103834	0.0192589558346367
Hnrnpc	0.917135525655293	0.930464117024924	0.207663023767976	0.255082139431529	0.404140166	NA	-0.09700802	NA	0.404140166	-0.09700802	0.506294243928217	0.534421701924229
